countryCode,name,toponymName
CN,Xinjiang Uyghur Autonomous Region,Xinjiang Uyghur Autonomous Region
CN,Qinghai Sheng,Qinghai Sheng
CN,쓰촨 성,Sichuan Sheng
CN,Shanxi Sheng,Shanxi Sheng
CN,Inner Mongolia Autonomous Region,Inner Mongolia Autonomous Region
CN,Liaoning Sheng,Liaoning Sheng
CN,Jilin Sheng,Jilin Sheng
CN,Heilongjiang Sheng,Heilongjiang Sheng
IN,아루나찰프라데시 주,State of Arunāchal Pradesh
CN,Hainan Sheng,Hainan Sheng
CN,Shanghai Shi,Shanghai Shi
CN,Tianjin Shi,Tianjin Shi
CN,Beijing Shi,Beijing Shi
CN,Guangxi Zhuang Autonomous Region,Guangxi Zhuang Autonomous Region
CN,Ningxia Hui Autonomous Region,Ningxia Hui Autonomous Region
CN,Anhui Sheng,Anhui Sheng
CN,Tibet Autonomous Region,Tibet Autonomous Region
YE,하드라마우트주,Hadhramaut Governorate
YE,자우프주,Muḩāfaz̧at al Jawf
YE,샤브와주,Shabwah
YE,마리브주,Muḩāfaz̧at Ma’rib
YE,마라주,Al Mahrah
YE,호데이다주,Muḩāfaz̧at al Ḩudaydah
YE,Amanat alasimah,Amanat alasimah
YE,다마르주,Muḩāfaz̧at Dhamār
YE,타이즈주,Muḩāfaz̧at Ta‘izz
YE,사나주,Sanaa
YE,사다주,Muḩāfaz̧at Şa‘dah
YE,라이마주,Muḩāfaz̧at Raymah
YE,마위트주,Al Maḩwīt
YE,바이다주,Al Bayda Governorate
YE,Governorate Number One,Governorate Number One
YE,아브얀주,Muḩāfaz̧at Abyan
YE,달리주,Muḩāfaz̧at aḑ Ḑāli‘
YE,암란주,Muḩāfaz̧at ‘Amrān
YE,하자주,Muḩāfaz̧at Ḩajjah
YE,이브주,Ibb
YE,라히즈주,Muḩāfaz̧at Laḩij
YE,소코트라주,Socotra
GG,Saint Pierre du Bois,Saint Pierre du Bois
GG,Torteval,Torteval
GG,Saint Saviour,Saint Saviour
GG,Forest,Forest
GG,Saint Martin,Saint Martin
GG,Saint Andrew,Saint Andrew
GG,Saint Peter Port,Saint Peter Port
GG,Castel,Castel
GG,Vale,Vale
GG,Saint Sampson,Saint Sampson
GG,Alderney,Alderney
SB,테모투주,Temotu Province
SB,말라이타 주,Malaita Province
SB,슈아절주,Choiseul
SB,마키라울라와주,Makira-Ulawa Province
SB,서부주,Western Province
SB,이사벨주,Isabel Province
SB,과달카날주,Guadalcanal Province
SB,렌넬벨로나주,Rennell and Bellona
SB,중부주,Central Province
SB,Honiara,Honiara
SJ,스발바르 제도,Svalbard
SJ,Jan Mayen,Jan Mayen
FO,Vága Sýsla,Vága Sýsla
FO,Suðuroyar sýsla,Suðuroyar sýsla
FO,Streymoyar Sýsla,Streymoyar Sýsla
FO,Sandoyar Sýsla,Sandoyar Sýsla
FO,Norðoyar sýsla,Norðoyar sýsla
FO,Eysturoyar sýsla,Eysturoyar sýsla
UZ,나보이주,Navoiy Region
UZ,카라칼파크스탄 공화국,Karakalpakstan
UZ,타슈켄트주,Tashkent Region
UZ,카슈카다리야주,Qashqadaryo Region
UZ,Tashkent,Tashkent
UZ,시르다리야주,Sirdaryo Region
UZ,나망간주,Namangan Region
UZ,호레즘주,Xorazm Region
UZ,페르가나주,Fergana Region
UZ,안디잔주,Andijan Region
UZ,수르한다리야주,Surxondaryo Region
UZ,사마르칸트주,Samarqand Region
UZ,지자흐주,Jizzakh Region
UZ,부하라주,Bukhara Region
EG,마트루주,Muḩāfaz̧at Maţrūḩ
EG,알와디알자디드주,New Valley
EG,홍해주,Red Sea Governorate
EG,자누브시나주,South Sinai Governorate
EG,샤말시나주,North Sinai
EG,아스완주,Muḩāfaz̧at Aswān
EG,기자주,Muḩāfaz̧at al Jīzah
EG,소하그주,Muḩāfaz̧at Sūhāj
EG,카프르엘셰이크주,Kafr ash Shaykh
EG,다미에타주,Damietta Governorate
EG,포트사이드주,Port Said
EG,Muḩāfaz̧at Banī Suwayf,Muḩāfaz̧at Banī Suwayf
EG,케나주,Muḩāfaz̧at Qinā
EG,아시우트주,Muḩāfaz̧at Asyūţ
EG,수에즈주,Suez
EG,Muḩāfaz̧at ash Sharqīyah,Muḩāfaz̧at ash Sharqīyah
EG,칼리우비야주,Muḩāfaz̧at al Qalyūbīyah
EG,카이로주,Cairo Governorate
EG,미니아주,Muḩāfaz̧at al Minyā
EG,무누피아주,Muḩāfaz̧at al Minūfīyah
EG,이스마일리아주,Ismailia Governorate
EG,알렉산드리아주,Alexandria
EG,가르비야주,Muḩāfaz̧at al Gharbīyah
EG,파이윰주,Muḩāfaz̧at al Fayyūm
EG,베헤이라 주,Beheira Governorate
EG,다칼리야주,Muḩāfaz̧at ad Daqahlīyah
EG,룩소르주,Luxor
SN,탐바쿤다주,Tambacounda
SN,마탐주,Matam
SN,루가주,Louga
SN,카프린주,Région de Kaffrine
SN,Région de Kédougou,Région de Kédougou
SN,세디우주,Région de Sédhiou
SN,지긴쇼르주,Ziguinchor
SN,Région de Thiès,Région de Thiès
SN,생루이주,Saint-Louis
SN,콜다주,Kolda
SN,카올라크주,Kaolack
SN,파티크주,Fatick
SN,디우르벨주,Diourbel
SN,다카르주,Dakar
LK,북서부주,North Western Province
LK,중북부주,North Central Province
LK,중부주,Central Province
LK,남부주,Southern Province
LK,사바라가무와주,Sabaragamuwa Province
LK,서부주,Western Province
LK,우바주,Province of Uva
LK,북부주,Northern Province
LK,동부주,Eastern Province
PS,West Bank,West Bank
PS,가자 지구,Gaza Strip
IL,Judea and Samaria Area,Judea and Samaria Area
BD,다카주,Dhaka Division
BD,치타공 구,Chittagong
BD,쿨나주,Khulna Division
BD,라지샤히주,Rājshāhi Division
BD,바리살주,Barisal Division
BD,실렛주,Sylhet Division
BD,랑푸르주,Rangpur Division
BD,Mymensingh Division,Mymensingh Division
PE,Ucayali,Ucayali
PE,쿠스코주,Cusco
PE,라리베르타드주,La Libertad
PE,우아누코주,Región de Huánuco
PE,카하마르카주,Cajamarca
PE,앙카시주,Ancash
